date,AUD.USD,EUR.GBP,EUR.USD,GBP.USD,USD.CAD,USD.JPY,USD.CHF,NZD.USD,EUR.JPY
2012-04-01,1.03642,0.83278,1.33443,1.60147,0.99844,82.8802,0.90231,0.818875,110.59
2012-04-02,1.04114,0.832695,1.33377,1.60175,0.99541,82.6734,0.90287,0.821565,110.267
2012-04-03,1.03878,0.832595,1.33214,1.6,0.990565,82.1509,0.90363,0.823,109.436
2012-04-04,1.02767,0.829355,1.31749,1.58858,0.99373,82.5956,0.91385,0.815615,108.818
2012-04-05,1.02887,0.826115,1.31056,1.58644,0.995545,82.2629,0.91774,0.815855,107.809
2012-04-06,1.0309,0.824555,1.30756,1.58579,0.99436,82.0597,0.918885,0.81762,107.297
2012-04-07,1.0304,0.82507,1.30951,1.58722,0.99709,81.639,0.91694,0.8196,106.914
2012-04-08,1.03037,0.82504,1.30955,1.58734,0.99711,81.6277,0.91693,0.81949,106.903
2012-04-09,1.02958,0.82393,1.30802,1.58753,0.99738,81.4287,0.9186,0.81923,106.51
2012-04-10,1.02924,0.825075,1.31,1.58773,0.999055,81.2276,0.917585,0.8181,106.41
2012-04-11,1.02867,0.82466,1.31058,1.58924,1.00326,80.8312,0.916795,0.81741,105.935
2012-04-12,1.03859,0.824785,1.31456,1.59383,0.99972,80.9291,0.914665,0.82226,106.386
2012-04-13,1.03974,0.825585,1.31426,1.59191,0.99586,80.9822,0.91458,0.82779,106.432
2012-04-14,1.03737,0.82518,1.30783,1.58478,0.99965,80.917,0.91952,0.8229,105.821
2012-04-15,1.03752,0.82513,1.30771,1.58482,0.99958,80.9152,0.919535,0.823045,105.816
2012-04-16,1.03451,0.82351,1.30523,1.58496,0.999845,80.6808,0.921125,0.82017,105.307
2012-04-17,1.0364,0.824755,1.31283,1.5918,0.99565,80.5943,0.9154,0.81927,105.807
2012-04-18,1.03802,0.821145,1.31107,1.59665,0.98987,81.2716,0.916765,0.81935,106.552
2012-04-19,1.03519,0.8181,1.3122,1.60397,0.99172,81.4866,0.91608,0.81611,106.925
2012-04-20,1.03466,0.818815,1.3173,1.60878,0.993455,81.6235,0.91235,0.814845,107.521
2012-04-21,1.03804,0.81982,1.32177,1.61237,0.99237,81.5339,0.90901,0.81864,107.782
2012-04-22,1.03846,0.81969,1.32098,1.61251,0.99238,81.5679,0.909205,0.818565,107.761
2012-04-23,1.03216,0.816995,1.31621,1.61103,0.99437,81.2436,0.91307,0.813845,106.933
2012-04-24,1.02909,0.81638,1.31712,1.61338,0.989985,81.1275,0.912425,0.812635,106.855
2012-04-25,1.03297,0.81833,1.32045,1.61359,0.986015,81.3501,0.910085,0.812915,107.418
2012-04-26,1.03737,0.817465,1.32277,1.61815,0.983025,81.06,0.90844,0.81555,107.224
2012-04-27,1.04089,0.81538,1.32184,1.62114,0.98375,80.7362,0.90892,0.81624,106.719
2012-04-28,1.04716,0.815,1.32547,1.62643,0.98051,80.2959,0.90634,0.82233,106.403
2012-04-29,1.04707,0.81491,1.32518,1.62641,0.98055,80.3064,0.90644,0.822345,106.393
2012-04-30,1.0437,0.81392,1.32359,1.62619,0.983355,80.0875,0.90767,0.820445,106.002
2012-05-01,1.03571,0.81641,1.32443,1.62227,0.986925,79.932,0.907135,0.815495,105.865
2012-05-02,1.0328,0.813605,1.31863,1.62072,0.98667,80.225,0.9113,0.812665,105.787
2012-05-03,1.02878,0.8123,1.31469,1.61848,0.986175,80.2644,0.913895,0.80386,105.523
2012-05-04,1.02352,0.811895,1.31322,1.61747,0.99041,80.0862,0.91489,0.798335,105.17
2012-05-05,1.01889,0.81019,1.30837,1.61497,0.99592,79.856,0.91816,0.79573,104.485
2012-05-06,1.0187,0.80995,1.30775,1.61489,0.995845,79.8519,0.918515,0.79556,104.435
2012-05-07,1.01684,0.805905,1.30177,1.61529,0.99589,79.8545,0.92277,0.793975,103.951
2012-05-08,1.01541,0.80596,1.30254,1.61614,0.99622,79.8761,0.92224,0.791145,104.043
2012-05-09,1.00703,0.80394,1.29685,1.61312,1.00167,79.7264,0.92617,0.785255,103.393
2012-05-10,1.00955,0.80213,1.29486,1.61428,1.00121,79.7672,0.92766,0.786365,103.287
2012-05-11,1.00496,0.802795,1.29309,1.61071,1.00192,79.8873,0.928935,0.78436,103.3
2012-05-12,1.00198,0.80378,1.29179,1.60693,1.00057,79.942,0.92991,0.78268,103.257
2012-05-13,1.00343,0.80375,1.29174,1.60695,1.00048,79.9445,0.92995,0.783545,103.259
2012-05-14,0.999475,0.80042,1.28692,1.60781,1.00208,79.9369,0.93333,0.77942,102.873
2012-05-15,0.997545,0.797635,1.28117,1.60621,1.00266,79.9804,0.937495,0.775,102.468
2012-05-16,0.992405,0.79776,1.27246,1.59505,1.00928,80.3502,0.943895,0.76636,102.243
2012-05-17,0.992945,0.801395,1.27187,1.58708,1.01378,80.0375,0.944345,0.76552,101.798
2012-05-18,0.984965,0.804425,1.27024,1.57908,1.01963,79.2862,0.945545,0.75818,100.712
2012-05-19,0.98441,0.80766,1.27733,1.58215,1.02226,79.03,0.93979,0.75653,100.972
2012-05-20,0.98409,0.807555,1.27712,1.58225,1.02227,79.0177,0.939825,0.75654,100.951
2012-05-21,0.98544,0.80798,1.27779,1.58145,1.02022,79.264,0.94003,0.75923,101.282
2012-05-22,0.98885,0.80814,1.27684,1.57998,1.01782,79.6568,0.94069,0.762935,101.707
2012-05-23,0.97551,0.803445,1.26388,1.57308,1.02342,79.5738,0.950275,0.750535,100.572
2012-05-24,0.975695,0.801415,1.25684,1.56828,1.02581,79.4732,0.955925,0.75203,99.8846
2012-05-25,0.97688,0.80064,1.25396,1.56619,1.02752,79.6325,0.958345,0.75509,99.8556
2012-05-26,0.97589,0.79926,1.25194,1.56654,1.02932,79.685,0.95942,0.75394,99.76
2012-05-27,0.97623,0.79947,1.25333,1.56663,1.02918,79.6816,0.95914,0.75429,99.8147
2012-05-28,0.984985,0.80094,1.25682,1.56918,1.02473,79.4531,0.95647,0.761405,99.8568
2012-05-29,0.9845,0.79946,1.2525,1.56669,1.02389,79.5074,0.95936,0.761175,99.5842
2012-05-30,0.977265,0.798655,1.24408,1.55771,1.02657,79.251,0.965425,0.758235,98.595
2012-05-31,0.97221,0.800625,1.2382,1.54655,1.03017,78.7035,0.97005,0.75382,97.4511
2012-06-01,0.968195,0.804855,1.23642,1.53621,1.03717,78.2952,0.97137,0.7519,96.8053
2012-06-02,0.96992,0.80935,1.24344,1.53624,1.04106,78.015,0.96603,0.75455,97.014
2012-06-03,0.970235,0.80925,1.24214,1.53625,1.04091,78.0213,0.96623,0.754455,96.9343
2012-06-04,0.96866,0.809225,1.24398,1.53725,1.04142,78.1891,0.96543,0.75456,97.2662
2012-06-05,0.97447,0.811395,1.24733,1.53724,1.03882,78.4468,0.962935,0.75614,97.8484
2012-06-06,0.98508,0.809455,1.25016,1.54445,1.03309,78.9847,0.960625,0.7633,98.7442
2012-06-07,0.99403,0.810625,1.25745,1.55122,1.02658,79.4511,0.955205,0.77088,99.9056
2012-06-08,0.986915,0.80853,1.25032,1.54638,1.03103,79.4247,0.960595,0.76582,99.3061
2012-06-09,0.991585,0.8091,1.25118,1.54712,1.02699,79.475,0.95959,0.77031,99.4399
2012-06-10,0.99354,0.80972,1.25433,1.54751,1.02659,79.4885,0.9588,0.77147,99.7095
2012-06-11,0.995305,0.80985,1.25802,1.5534,1.02445,79.5231,0.95487,0.7747,100.041
2012-06-12,0.99049,0.804945,1.24903,1.5517,1.02919,79.4619,0.961565,0.77311,99.25
2012-06-13,0.996155,0.805545,1.25316,1.55567,1.02689,79.534,0.958405,0.7777,99.668
2012-06-14,0.99601,0.810485,1.25794,1.55208,1.02685,79.3601,0.954825,0.778035,99.83
2012-06-15,1.00362,0.81057,1.2629,1.55805,1.02343,78.9385,0.951,0.7852,99.6917
2012-06-16,1.0083,0.80444,1.26383,1.57147,1.02163,78.722,0.95021,0.78798,99.494
2012-06-17,1.00848,0.80473,1.26436,1.57152,1.02158,78.726,0.949835,0.78817,99.5403
2012-06-18,1.01036,0.80649,1.26488,1.56836,1.02307,79.1049,0.949615,0.79167,100.058
2012-06-19,1.0151,0.804825,1.26296,1.56924,1.02109,78.9807,0.95092,0.79471,99.7499
2012-06-20,1.01873,0.80684,1.26887,1.57264,1.01859,79.1128,0.946475,0.796045,100.385
2012-06-21,1.01414,0.806775,1.26434,1.56713,1.02239,79.8458,0.949985,0.795705,100.95
2012-06-22,1.00487,0.80472,1.25526,1.55987,1.02748,80.3418,0.956755,0.788665,100.85
2012-06-23,1.00641,0.8065,1.25698,1.55872,1.02464,80.427,0.95531,0.79054,101.096
2012-06-24,1.00624,0.806505,1.25682,1.5585,1.02482,80.4283,0.95545,0.790495,101.084
2012-06-25,1.00134,0.803575,1.25112,1.55695,1.02801,79.9981,0.9599,0.787105,100.087
2012-06-26,1.0037,0.80105,1.24985,1.56025,1.02714,79.5247,0.960935,0.790045,99.3937
2012-06-27,1.00649,0.799935,1.24839,1.56061,1.02508,79.5911,0.962085,0.79019,99.3597
2012-06-28,1.00699,0.801225,1.24593,1.55503,1.02793,79.4437,0.96402,0.790835,98.9809
2012-06-29,1.01601,0.8054,1.25773,1.56161,1.02495,79.5331,0.95533,0.796285,100.032
2012-06-30,1.02386,0.80636,1.26646,1.5705,1.01658,79.795,0.94847,0.80142,101.051
2012-07-01,1.02402,0.80642,1.26651,1.57046,1.01661,79.7966,0.94845,0.80138,101.058
2012-07-02,1.02428,0.804815,1.26172,1.56773,1.01789,79.6548,0.952195,0.802385,100.502
2012-07-03,1.02659,0.80256,1.25928,1.56907,1.01485,79.7425,0.953925,0.803875,100.417
